id,title,description,releaseYear,genre,duration,director,rating,language,posterUrl,cast,country,imdbId
26,"Dune: Part Two","Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.",2024,"[""Action"",""Adventure"",""Sci-Fi""]",166,"Denis Villeneuve",8.6,"English","","[""Timothée Chalamet"",""Zendaya"",""Rebecca Ferguson"",""Javier Bardem""]","United States","tt15239678"
27,"Spider-Man: Across the Spider-Verse","Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its existence.",2023,"[""Action"",""Adventure"",""Animation""]",140,"Joaquim Dos Santos",8.6,"English","","[""Shameik Moore"",""Hailee Steinfeld"",""Oscar Isaac"",""Jake Johnson""]","United States","tt9362722"
28,"Avengers: Endgame","After the devastating events of Infinity War, the remaining Avengers assemble to reverse Thanos's actions.",2019,"[""Action"",""Adventure"",""Sci-Fi""]",181,"Anthony Russo",8.4,"English","","[""Robert Downey Jr."",""Chris Evans"",""Mark Ruffalo"",""Chris Hemsworth""]","United States","tt4154796"
29,"The Batman","When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's corruption.",2022,"[""Action"",""Crime"",""Drama""]",176,"Matt Reeves",7.8,"English","","[""Robert Pattinson"",""Zoë Kravitz"",""Paul Dano"",""Colin Farrell""]","United States","tt1877830"
30,"Parasite","Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.",2019,"[""Drama"",""Thriller""]",132,"Bong Joon Ho",8.5,"Korean","","[""Song Kang-ho"",""Lee Sun-kyun"",""Cho Yeo-jeong"",""Choi Woo-shik""]","South Korea","tt6751668"
31,"Stree","In a small town, a malevolent spirit targets men during an annual festival, prompting a young tailor and his friends to investigate.",2018,"[""Comedy"",""Horror""]",128,"Amar Kaushik",7.5,"Hindi","","[""Rajkummar Rao"",""Shraddha Kapoor"",""Pankaj Tripathi"",""Aparshakti Khurana""]","India","tt8108202"
32,"Stree 2","The town of Chanderi faces a new supernatural threat as an ancient headless entity strikes terror among the residents.",2024,"[""Comedy"",""Horror""]",147,"Amar Kaushik",7.2,"Hindi","","[""Rajkummar Rao"",""Shraddha Kapoor"",""Pankaj Tripathi"",""Abhishek Banerjee""]","India","tt27510173"
33,"Andhadhun","A series of mysterious events unfold after a blind pianist inadvertently witnesses the murder of a former film actor.",2018,"[""Comedy"",""Crime"",""Thriller""]",139,"Sriram Raghavan",8.2,"Hindi","","[""Ayushmann Khurrana"",""Tabu"",""Radhika Apte"",""Anil Dhawan""]","India","tt8108198"
34,"Tumbbad","A mythological story about a family's greed for a hidden treasure guarded by a horrific ancient entity.",2018,"[""Drama"",""Fantasy"",""Horror""]",104,"Rahi Anil Barve",8.2,"Hindi","","[""Sohum Shah"",""Jyoti Malshe"",""Anita Date"",""Ronjini Chakraborty""]","India","tt8239946"
35,"Uri: The Surgical Strike","Indian Special Forces carry out a covert operation to avenge a deadly attack on an army base in Uri.",2019,"[""Action"",""Drama"",""War""]",138,"Aditya Dhar",8.2,"Hindi","","[""Vicky Kaushal"",""Yami Gautam"",""Paresh Rawal"",""Mohit Raina""]","India","tt8291224"
36,"Shershaah","The life journey of Captain Vikram Batra, who sacrificed his life during the 1999 Kargil War.",2021,"[""Action"",""Biography"",""Drama""]",135,"Vishnuvardhan",8.3,"Hindi","","[""Sidharth Malhotra"",""Kiara Advani"",""Shiv Panditt"",""Nikitin Dheer""]","India","tt10293938"
37,"12th Fail","An honest village youth battles poverty, administrative obstacles, and social pressure to clear the tough IPS exam.",2023,"[""Biography"",""Drama""]",147,"Vidhu Vinod Chopra",8.9,"Hindi","","[""Vikrant Massey"",""Medha Shankr"",""Anant V Joshi"",""Anshumaan Pushkar""]","India","tt23849204"
38,"Kantara: A Legend Chapter 1","A prequel exploring the ancient origins of the sacred coastal region and its divine protector deities.",2025,"[""Action"",""Adventure"",""Drama""]",150,"Rishab Shetty",8.1,"Kannada","","[""Rishab Shetty""]","India","tt30206132"
39,"Charlie 777","A lonely, secluded factory worker finds joy and purpose after adopting a stray, energetic Labrador dog.",2022,"[""Adventure"",""Comedy"",""Drama""]",164,"Kiranraj K.",8.8,"Kannada","","[""Rakshit Shetty"",""Sangeetha Sringeri"",""Raj B. Shetty"",""Danish Sait""]","India","tt8228288"
40,"Garuda Gamana Vrishabha Vahana","Two close friends rise to power in Mangaluru's crime syndicate, but personal ambitions eventually tear them apart.",2021,"[""Crime"",""Drama"",""Thriller""]",151,"Raj B. Shetty",8.4,"Kannada","","[""Raj B. Shetty"",""Rishab Shetty"",""Gopalkrishna Deshpande""]","India","tt15707796"
41,"Lucia","An insomniac movie theater usher takes an experimental drug that blurs the boundary between reality and dreams.",2013,"[""Drama"",""Sci-Fi"",""Thriller""]",138,"Pawan Kumar",8.3,"Kannada","","[""Sathish Ninasam"",""Sruthi Hariharan"",""Achyuth Kumar""]","India","tt2358891"
42,"Pushpa: The Rise","A coolie climbs the ranks of a red sandalwood smuggling syndicate, making formidable enemies along the way.",2021,"[""Action"",""Crime"",""Drama""]",179,"Sukumar",7.6,"Telugu","","[""Allu Arjun"",""Rashmika Mandanna"",""Fahadh Faasil"",""Jagapathi Babu""]","India","tt9389998"
43,"Pushpa 2: The Rule","Pushpa defends his expanding sandalwood empire against persistent law enforcement and vengeful rivals.",2024,"[""Action"",""Crime"",""Drama""]",180,"Sukumar",7.8,"Telugu","","[""Allu Arjun"",""Rashmika Mandanna"",""Fahadh Faasil""]","India","tt16539454"
44,"Sita Ramam","An orphaned soldier serving in Kashmir receives anonymous romantic letters from a woman named Sita.",2022,"[""Action"",""Drama"",""Mystery""]",163,"Hanu Raghavapudi",8.6,"Telugu","","[""Dulquer Salmaan"",""Mrunal Thakur"",""Rashmika Mandanna"",""Sumanth""]","India","tt13251786"
45,"Jersey","A talented but failed cricketer in his late thirties decides to return to the sport to fulfill his son's wish.",2019,"[""Drama"",""Sport""]",157,"Gowtam Tinnanuri",8.5,"Telugu","","[""Nani"",""Shraddha Srinath"",""Sathyaraj"",""Ronit Kamra""]","India","tt8948790"
46,"Super Deluxe","Four interconnected stories unfold involving an unfaithful wife, an estranged father, and a group of curious teenagers.",2019,"[""Comedy"",""Crime"",""Drama""]",176,"Thiagarajan Kumararaja",8.3,"Tamil","","[""Vijay Sethupathi"",""Fahadh Faasil"",""Samantha Ruth Prabhu"",""Ramya Krishnan""]","India","tt7039782"
47,"Soorarai Pottru","An ambitious man from a rural village sets out to create a low-cost airline for common citizens.",2020,"[""Action"",""Biography"",""Drama""]",153,"Sudha Kongara",8.7,"Tamil","","[""Suriya"",""Aparna Balamurali"",""Paresh Rawal"",""Mohan Babu""]","India","tt10189514"
48,"Jai Bhim","A courageous human rights lawyer fights in court for a tribal woman whose husband was wrongfully detained.",2021,"[""Crime"",""Drama"",""Mystery""]",164,"T.J. Gnanavel",8.8,"Tamil","","[""Suriya"",""Lijomol Jose"",""K. Manikandan"",""Rajisha Vijayan""]","India","tt15097216"
49,"Asuran","A farmer from an underprivileged background goes to extreme lengths to protect his young son from an influential landlord.",2019,"[""Action"",""Drama""]",141,"Vetrimaaran",8.4,"Tamil","","[""Dhanush"",""Manju Warrier"",""Prakash Raj"",""Pasupathy""]","India","tt9701942"
50,"Great Indian Kitchen","A newly married woman struggles with the rigid patriarchal expectations imposed upon her in a traditional household.",2021,"[""Drama""]",100,"Jeo Baby",8.1,"Malayalam","","[""Nimisha Sajayan"",""Suraj Venjaramoodu""]","India","tt13283526"
51,"Premam","A young man experiences love at three different stages of his life, facing heartbreak and self-discovery along the way.",2015,"[""Comedy"",""Drama"",""Romance""]",156,"Alphonse Puthren",8.3,"Malayalam","","[""Nivin Pauly"",""Sai Pallavi"",""Madonna Sebastian"",""Anupama Parameswaran""]","India","tt4789502"
52,"Minnal Murali","A tailor in a small Kerala town gains superpowers after being struck by lightning and must face an unexpected nemesis.",2021,"[""Action"",""Adventure"",""Comedy""]",158,"Basil Joseph",7.8,"Malayalam","","[""Tovino Thomas"",""Guru Somasundaram"",""Femina George"",""Aju Varghese""]","India","tt15423440"
53,"Pawankhind","An epic historic battle where a small Maratha force holds off thousands of enemy troops to secure their leader's passage.",2022,"[""Action"",""Drama"",""History""]",153,"Digpal Lanjekar",8.2,"Marathi","","[""Chinmay Mandlekar"",""Mrinal Kulkarni"",""Ajay Purkar""]","India","tt14963502"
54,"Subhedar","The heroic sacrifice of Subhedar Tanaji Malusare during the legendary battle to capture the Kondhana fort.",2023,"[""Action"",""Drama"",""History""]",150,"Digpal Lanjekar",7.8,"Marathi","","[""Chinmay Mandlekar"",""Mrinal Kulkarni"",""Ajay Purkar""]","India","tt28186177"
55,"Nagarkirtan","A transgender woman and a flute player fall in love while navigating societal rejection in rural West Bengal.",2017,"[""Drama"",""Romance""]",115,"Kaushik Ganguly",8.1,"Bengali","","[""Riddhi Sen"",""Ritwick Chakraborty""]","India","tt7583680"
56,"Ballabhpurer Roopkotha","An impoverished aristocrat tries to sell his ancestral mansion, which happens to be inhabited by an ancient ghost.",2022,"[""Comedy"",""Horror""]",136,"Anirban Bhattacharya",8.0,"Bengali","","[""Satyam Bhattacharya"",""Debraj Bhattacharya"",""Surangana Bandyopadhyay""]","India","tt22184136"
57,"Everything Everywhere All at Once","A middle-aged Chinese immigrant is swept into an insane adventure across alternate universes to save existence.",2022,"[""Action"",""Adventure"",""Comedy""]",139,"Daniel Kwan",7.8,"English","","[""Michelle Yeoh"",""Stephanie Hsu"",""Ke Huy Quan"",""Jamie Lee Curtis""]","United States","tt6710474"
58,"Top Gun: Maverick","After thirty years of service, Pete Mitchell is called to train a detachment of elite graduates for a dangerous mission.",2022,"[""Action"",""Drama""]",130,"Joseph Kosinski",8.2,"English","","[""Tom Cruise"",""Miles Teller"",""Jennifer Connelly"",""Jon Hamm""]","United States","tt1745960"
59,"Avatar: The Way of Water","Jake Sully and Neytiri must leave their home and explore the regions of Pandora when an old threat resurfaces.",2022,"[""Action"",""Adventure"",""Sci-Fi""]",192,"James Cameron",7.6,"English","","[""Sam Worthington"",""Zoe Saldana"",""Sigourney Weaver"",""Stephen Lang""]","United States","tt1630029"
60,"Barbie","Barbie and Ken leave the colorful world of Barbieland to discover the truths of the real world.",2023,"[""Adventure"",""Comedy"",""Fantasy""]",114,"Greta Gerwig",6.8,"English","","[""Margot Robbie"",""Ryan Gosling"",""America Ferrera"",""Will Ferrell""]","United States","tt1517268"
61,"Godzilla Minus One","Post-war Japan faces a catastrophic threat when a giant mutated monster emerges from the ocean.",2023,"[""Action"",""Adventure"",""Sci-Fi""]",124,"Takashi Yamazaki",7.9,"Japanese","","[""Ryunosuke Kamiki"",""Minami Hamabe"",""Yuki Yamada""]","Japan","tt23289160"
62,"Anatomy of a Fall","A woman is suspected of murder after her husband's death in the snow, leaving their blind son as the sole witness.",2023,"[""Crime"",""Drama"",""Thriller""]",151,"Justine Triet",7.7,"French","","[""Sandra Hüller"",""Swann Arlaud"",""Milo Machado-Graner""]","France","tt17009710"
63,"The Zone of Interest","The commandant of Auschwitz and his wife strive to build a dream life for their family in a house next to the camp.",2023,"[""Drama"",""History"",""War""]",105,"Jonathan Glazer",7.4,"German","","[""Christian Friedel"",""Sandra Hüller""]","United Kingdom","tt5160938"
64,"Deadpool & Wolverine","Deadpool is offered a place in the Marvel Cinematic Universe, but recruits Wolverine to help save his timeline.",2024,"[""Action"",""Comedy"",""Sci-Fi""]",128,"Shawn Levy",7.7,"English","","[""Ryan Reynolds"",""Hugh Jackman"",""Emma Corrin"",""Morena Baccarin""]","United States","tt6263850"
65,"Chhaava","An epic historical drama recounting the valorous life and military triumphs of Maratha king Chhatrapati Sambhaji Maharaj.",2025,"[""Action"",""Biography"",""Drama""]",160,"Laxman Utekar",7.5,"Hindi","","[""Vicky Kaushal"",""Rashmika Mandanna"",""Akshaye Khanna""]","India","tt29500050"
66,"Superboys of Malegaon","An inspiring tale of amateur filmmakers in a small Maharashtra town who make hilarious spoofs of famous blockbusters.",2024,"[""Comedy"",""Drama""]",128,"Reema Kagti",7.7,"Hindi","","[""Adarsh Gourav"",""Vineet Kumar Singh"",""Shashank Arora""]","India","tt28186199"
67,"Amar Singh Chamkila","The life and tragic murder of legendary Punjabi folk singer Amar Singh Chamkila and his wife Amarjot.",2024,"[""Biography"",""Drama"",""Music""]",145,"Imtiaz Ali",8.0,"Hindi","","[""Diljit Dosanjh"",""Parineeti Chopra"",""Anbumani""]","India","tt20228382"
68,"Bhool Bhulaiyaa 3","Rooh Baba travels to Kolkata to confront dark spirits in an ancient mansion haunted by legendary specters.",2024,"[""Comedy"",""Horror""]",158,"Anees Bazmee",5.8,"Hindi","","[""Kartik Aaryan"",""Vidya Balan"",""Madhuri Dixit"",""Triptii Dimri""]","India","tt26938920"
69,"Singham Again","Deputy Commissioner Bajirao Singham forms an elite task force to rescue his wife from a ruthless global terrorist.",2024,"[""Action"",""Drama""]",144,"Rohit Shetty",5.6,"Hindi","","[""Ajay Devgn"",""Akshay Kumar"",""Ranveer Singh"",""Kareena Kapoor Khan""]","India","tt16429398"
70,"Maharaja","A quiet barber seeks help from local police when an everyday household object is stolen from his residence.",2024,"[""Action"",""Crime"",""Drama""]",141,"Nithilan Saminathan",8.5,"Tamil","","[""Vijay Sethupathi"",""Anurag Kashyap"",""Sachana Namidass"",""Mamta Mohandas""]","India","tt26322308"
71,"Vettaiyan","A veteran police officer known for encounter killings faces ethical questions when an investigation takes a wrong turn.",2024,"[""Action"",""Drama""]",163,"T.J. Gnanavel",7.0,"Tamil","","[""Rajinikanth"",""Amitabh Bachchan"",""Fahadh Faasil"",""Rana Daggubati""]","India","tt27053538"
72,"Kanguva","A tribal warrior from an ancient era fights to protect his clan, connected across time to a modern bounty hunter.",2024,"[""Action"",""Fantasy""]",154,"Siva",5.3,"Tamil","","[""Suriya"",""Bobby Deol"",""Disha Patani""]","India","tt20128794"
73,"Game Changer","An honest IAS officer takes on rampant political corruption to ensure free and fair elections.",2025,"[""Action"",""Drama""]",165,"S. Shankar",6.8,"Telugu","","[""Ram Charan"",""Kiara Advani"",""S.J. Suryah"",""Anjali""]","India","tt14032042"
74,"Devara: Part 1","A fearless coastal man stands guard against illegal weapon smuggling along the volatile open seas.",2024,"[""Action"",""Drama""]",178,"Koratala Siva",6.4,"Telugu","","[""N.T. Rama Rao Jr."",""Saif Ali Khan"",""Janhvi Kapoor""]","India","tt14643322"
75,"Saripodhaa Sanivaaram","A young man with temper issues controls his anger during six days of the week, releasing it only on Saturdays.",2024,"[""Action"",""Thriller""]",174,"Vivek Athreya",7.2,"Telugu","","[""Nani"",""S.J. Suryah"",""Priyanka Arul Mohan""]","India","tt29618195"
76,"Ameerin Aadhi Bhagavan","An underworld operative navigates betrayal and revenge across international crime rings.",2013,"[""Action"",""Crime""]",150,"Ameer Sultan",6.0,"Tamil","","[""Jayam Ravi"",""Neetu Chandra""]","India","tt2175929"
77,"Guntur Kaaram","A rebellious young man must settle long-standing family feuds and dynamic political rivalries in his hometown.",2024,"[""Action"",""Drama""]",159,"Trivikram Srinivas",6.0,"Telugu","","[""Mahesh Babu"",""Sreeleela"",""Meenakshi Chaudhary""]","India","tt14561820"
78,"Thangalaan","A tribal leader leads his people to assist a British officer searching for gold in 19th-century Kolar.",2024,"[""Action"",""Drama"",""Historical""]",156,"Pa. Ranjith",7.2,"Tamil","","[""Vikram"",""Malavika Mohanan"",""Parvathy Thiruvothu""]","India","tt21827362"
79,"Kishkindha Kaandam","Mysterious occurrences and missing firearms spark an investigation in a monkey-inhabited reserve forest.",2024,"[""Mystery"",""Thriller""]",125,"Dinjith Ayyathan",8.2,"Malayalam","","[""Asif Ali"",""Aparna Balamurali"",""Vijayaraghavan""]","India","tt28186210"
80,"Bramayugam","A court singer fleeing slavery stumbles upon an ancient mansion inhabited by a malevolent sorcerer.",2024,"[""Horror"",""Mystery"",""Thriller""]",139,"Rahul Sadasivan",7.9,"Malayalam","","[""Mammootty"",""Arjun Ashokan"",""Sidharth Bharathan""]","India","tt28708082"
81,"ARM","Three generations of heroes fight against legendary thieves to protect an ancient treasure of northern Kerala.",2024,"[""Action"",""Adventure"",""Drama""]",150,"Jithin Laal",7.5,"Malayalam","","[""Tovino Thomas"",""Krithi Shetty"",""Aishwarya Rajesh""]","India","tt23849280"
82,"Kaathal - The Core","A retired bank manager's candidacy in local elections is thrown into turmoil when his wife files for divorce.",2023,"[""Drama""]",114,"Jeo Baby",8.2,"Malayalam","","[""Mammootty"",""Jyotika""]","India","tt22802096"
83,"Jharu","A stark slice-of-life social drama focusing on sanitation workers fighting for dignity and basic rights.",2022,"[""Drama""]",110,"Prosit Roy",7.1,"Hindi","","[""Jaideep Ahlawat""]","India","tt22001122"
84,"Ghar Banduk Biryani","An ambitious cop, a bandit, and a village cook find their paths colliding over food, weapons, and love.",2023,"[""Action"",""Comedy"",""Crime""]",162,"Hemant Awtade",7.5,"Marathi","","[""Akash Thosar"",""Sayaji Shinde"",""Nagraj Manjule""]","India","tt15707810"
85,"Karkhanisanchi Waari","A dysfunctional Marathi family takes a road trip in a van to fulfill their late patriarch's last wishes.",2021,"[""Comedy"",""Drama""]",108,"Mangesh Joshi",7.6,"Marathi","","[""Amey Wagh"",""Mrunmayee Deshpande"",""Mohan Agashe""]","India","tt10189520"
86,"AOTD: Army of the Dead","Following a zombie outbreak in Las Vegas, a group of mercenaries takes the ultimate gamble into the quarantine zone.",2021,"[""Action"",""Crime"",""Horror""]",148,"Zack Snyder",5.8,"English","","[""Dave Bautista"",""Ella Purnell"",""Omari Hardwick""]","United States","tt0993840"
87,"Jotugriha","A young city boy arrives at a hillside village and discovers terrifying paranormal events surrounding an old estate.",2022,"[""Horror"",""Mystery""]",112,"Saptaswa Basu",6.2,"Bengali","","[""Bonny Sengupta"",""Parambrata Chatterjee""]","India","tt15200110"
88,"Karnasubarner Guptodhon","Sonada, Abir, and Jhinuk embark on a dangerous quest to uncover historic treasure hidden by King Sasanka.",2022,"[""Adventure"",""Mystery""]",138,"Dhrubo Banerjee",7.0,"Bengali","","[""Abir Chatterjee"",""Arjun Chakrabarty"",""Ishaa Saha""]","India","tt21827370"
89,"Mission Impossible: Dead Reckoning","Ethan Hunt and his IMF team track down a dangerous artificial intelligence weapon before it falls into wrong hands.",2023,"[""Action"",""Adventure"",""Thriller""]",163,"Christopher McQuarrie",7.7,"English","","[""Tom Cruise"",""Hayley Atwell"",""Ving Rhames"",""Simon Pegg""]","United States","tt9603212"
90,"Guillermo del Toro's Pinocchio","A dark, stop-motion musical retelling of the classic tale set during fascist Italy.",2022,"[""Animation"",""Drama"",""Fantasy""]",117,"Guillermo del Toro",7.6,"English","","[""Ewan McGregor"",""David Bradley"",""Gregory Mann""]","United States","tt1488589"
91,"Furiosa: A Mad Max Saga","The origin story of renegade warrior Furiosa before her encounter with Mad Max in the wasteland.",2024,"[""Action"",""Adventure"",""Sci-Fi""]",148,"George Miller",7.6,"English","","[""Anya Taylor-Joy"",""Chris Hemsworth"",""Tom Burke""]","United States","tt12037194"
92,"Gladiator II","Lucius, nephew of Commodus, enters the Colosseum after his home is conquered by tyrannical emperors.",2024,"[""Action"",""Adventure"",""Drama""]",148,"Ridley Scott",6.9,"English","","[""Paul Mescal"",""Pedro Pascal"",""Denzel Washington""]","United States","tt9218128"
93,"Avatar: Fire and Ash","The Na'vi journey across Pandora continues as Jake and Neytiri encounter a aggressive fire-based Na'vi clan.",2025,"[""Action"",""Adventure"",""Sci-Fi""]",190,"James Cameron",8.0,"English","","[""Sam Worthington"",""Zoe Saldana"",""Oona Chaplin""]","United States","tt1757678"
94,"The Batman: Part II","Bruce Wayne faces new criminal masterminds and deep-rooted corruption across the flooded streets of Gotham.",2026,"[""Action"",""Crime"",""Drama""]",170,"Matt Reeves",8.1,"English","","[""Robert Pattinson"",""Zoë Kravitz"",""Andy Serkis""]","United States","tt20228390"
95,"Avengers: Doomsday","Earth's mightiest heroes reunite to confront Doctor Doom across collapsing timelines and multiversal threats.",2026,"[""Action"",""Adventure"",""Sci-Fi""]",180,"Anthony Russo",8.3,"English","","[""Robert Downey Jr."",""Pedro Pascal"",""Benedict Cumberbatch""]","United States","tt28186220"
